vowel_id,start,end,t,percent,F1,F2,F3,F4
1,2.056,2.41,2.056,0,387.4,1700.6,2629.1,3163.5
1,2.056,2.41,2.074,5,482.7,1590.7,2453.8,3310.5
1,2.056,2.41,2.091,10,524.6,1466.3,2526.5,3343.1
1,2.056,2.41,2.109,15,546.3,1356.7,2571.3,3333.7
1,2.056,2.41,2.127,20,529.6,1297,2616.1,3330
1,2.056,2.41,2.144,25,497.3,1222.7,2561.6,3279.9
1,2.056,2.41,2.162,30,461.1,1172.2,2558.7,3252
1,2.056,2.41,2.18,35,414.5,1120,2625.4,3246.9
1,2.056,2.41,2.198,40,423,1071.6,2654.6,3175.3
1,2.056,2.41,2.215,45,395.8,1074,2622.9,3247.9
1,2.056,2.41,2.233,50,367.7,1017.8,2602.1,3167.7
1,2.056,2.41,2.251,55,354.1,953.3,2633.7,3091.1
1,2.056,2.41,2.268,60,320.6,1005.3,2596.1,3170.2
1,2.056,2.41,2.286,65,324.7,958.3,2660.1,3276
1,2.056,2.41,2.304,70,319.7,876.9,2547.7,3197.7
1,2.056,2.41,2.321,75,357.7,719.7,2435.2,3134.5
1,2.056,2.41,2.339,80,311.9,695.8,2494,3299.3
1,2.056,2.41,2.357,85,322.4,1259.2,2678.1,3150.1
1,2.056,2.41,2.375,90,301.7,1416.6,2650.7,3348.4
1,2.056,2.41,2.392,95,310.7,1692,2578.6,3338.6
1,2.056,2.41,2.41,100,303.8,1661.3,2575,3504.5
2,3,3.355,3,0,416.1,1838.8,2585.2,3523.2
2,3,3.355,3.018,5,441.1,1900.6,2680.8,3543.3
2,3,3.355,3.036,10,444.2,1938.8,2626.7,3376.9
2,3,3.355,3.053,15,425.9,1997,2640.8,3393.7
2,3,3.355,3.071,20,409.1,2026.1,2651.8,3330.1
2,3,3.355,3.089,25,402.3,2030.4,2706.4,3341.6
2,3,3.355,3.107,30,397.8,2028.4,2683.1,3344.6
2,3,3.355,3.124,35,385,2031.4,2671.7,3370.6
2,3,3.355,3.142,40,388.4,2046.5,2700,3364.1
2,3,3.355,3.16,45,388.9,2036.1,2646.7,3383.5
2,3,3.355,3.178,50,376.7,2032.5,2761.3,3408.3
2,3,3.355,3.195,55,348.2,2047.9,2750,3388.4
2,3,3.355,3.213,60,337.6,2116.7,2845,3421.9
2,3,3.355,3.231,65,325.1,2110.5,2807.8,3449.9
2,3,3.355,3.249,70,319.1,2125.4,2816,3455
2,3,3.355,3.266,75,317.5,2120.4,2790.2,3454.7
2,3,3.355,3.284,80,314.4,2092.1,2723.8,3415.8
2,3,3.355,3.302,85,301,2028,2663.2,3500.8
2,3,3.355,3.32,90,284.9,2010.5,2568,3598
2,3,3.355,3.338,95,285.7,1944.3,2508.1,3662.5
2,3,3.355,3.355,100,257.5,1905.1,2632.5,3663.7
3,3.99,4.354,3.99,0,345.7,1406.4,2626.8,3556.4
3,3.99,4.354,4.008,5,423.4,1185.1,2579.3,3489
3,3.99,4.354,4.026,10,422.2,971.3,2806.8,3356.6
3,3.99,4.354,4.045,15,415.1,854.4,2877.2,3302.7
3,3.99,4.354,4.063,20,396.5,737.3,2891.1,3259.6
3,3.99,4.354,4.081,25,388.2,699.2,2981,3301.2
3,3.99,4.354,4.099,30,391.4,653,2993.2,3273.6
3,3.99,4.354,4.117,35,367.1,651.6,3033.3,3268.9
3,3.99,4.354,4.135,40,429.8,674.5,2898.1,3132.2
3,3.99,4.354,4.154,45,407.1,867.1,2775.8,3204.8
3,3.99,4.354,4.172,50,429.2,1003.7,2625.1,3226.1
3,3.99,4.354,4.19,55,426.2,1249.2,2509.1,3247.7
3,3.99,4.354,4.208,60,376.6,1480.3,2513.2,3267.6
3,3.99,4.354,4.226,65,354.1,1875.3,2505.6,3301.7
3,3.99,4.354,4.245,70,321,2056.6,2543.7,3283.2
3,3.99,4.354,4.263,75,311,2079.2,2680.7,3331.4
3,3.99,4.354,4.281,80,307.8,2124,2701.5,3357.8
3,3.99,4.354,4.299,85,297.3,2137.5,2797.1,3404.2
3,3.99,4.354,4.317,90,309.2,2107.9,2787,3437.4
3,3.99,4.354,4.335,95,311.7,2078.1,2701.1,3478.6
3,3.99,4.354,4.354,100,201.1,2027.8,2572.6,3535.1
4,4.94,5.19,4.94,0,320.3,2058.3,2616.5,--undefined--
4,4.94,5.19,4.953,5,446.7,2029.5,2698.3,3532.4
4,4.94,5.19,4.965,10,434.7,2107.6,2753.7,3817.5
4,4.94,5.19,4.978,15,423.5,2056,2692.6,3430.6
4,4.94,5.19,4.99,20,410.6,2056,2718.3,3651.8
4,4.94,5.19,5.003,25,391.3,2116.5,2663.3,3507.2
4,4.94,5.19,5.015,30,372.2,2210.1,2894.2,3358
4,4.94,5.19,5.028,35,349.5,2137.7,2866.6,3432.5
4,4.94,5.19,5.04,40,334.4,2171.5,2866,3318.7
4,4.94,5.19,5.053,45,320.2,2142.3,2842.2,3405.3
4,4.94,5.19,5.065,50,314.4,2179.1,2914.7,3380.5
4,4.94,5.19,5.078,55,323.5,2243.1,3009.4,3667.7
4,4.94,5.19,5.09,60,310.2,2225.5,3188,3456.3
4,4.94,5.19,5.103,65,297.9,2161.2,2852.2,3335.7
4,4.94,5.19,5.115,70,299,2211.8,2824.7,3344.6
4,4.94,5.19,5.128,75,289.1,2208.6,2856.8,3319.8
4,4.94,5.19,5.14,80,298.5,2211.5,3131.2,3216.7
4,4.94,5.19,5.153,85,306.9,2109.1,2941.5,3554.2
4,4.94,5.19,5.165,90,320.4,2117.2,2791,3490.1
4,4.94,5.19,5.178,95,293.7,2065.1,2538.4,3570.7
4,4.94,5.19,5.19,100,253.9,2097.4,2505.4,3524.4
5,5.91,6.173,5.91,0,277.7,1767.6,2478.6,3391.1
5,5.91,6.173,5.923,5,285.3,1829.4,2541.5,3340.6
5,5.91,6.173,5.936,10,286.4,1884.7,2586.6,3313.7
5,5.91,6.173,5.949,15,298.5,1868.6,2557.3,3297.2
5,5.91,6.173,5.963,20,313,1804.4,2369.4,3313.3
5,5.91,6.173,5.976,25,307.4,1730.4,2431.3,3331.8
5,5.91,6.173,5.989,30,301.4,1726.6,2420.7,3297.7
5,5.91,6.173,6.002,35,294.8,1650.3,2231.1,3281.8
5,5.91,6.173,6.015,40,285,1479.6,2295.2,3328.2
5,5.91,6.173,6.028,45,279.9,1430.9,2383.9,3278.2
5,5.91,6.173,6.042,50,273.7,1378.4,2235.3,3270.2
5,5.91,6.173,6.055,55,262,1371.6,2237.3,3221.8
5,5.91,6.173,6.068,60,266.8,1338.7,2261.2,3221.1
5,5.91,6.173,6.081,65,268.8,1320.4,2294.6,3168.6
5,5.91,6.173,6.094,70,256.2,1337.2,2349.7,3197.4
5,5.91,6.173,6.107,75,258.6,1405.6,2338.9,3145.3
5,5.91,6.173,6.12,80,270.3,1674.6,2316.9,3153.3
5,5.91,6.173,6.134,85,264.6,2065.1,2320,3185.2
5,5.91,6.173,6.147,90,254.3,2037.3,2581.5,3042.7
5,5.91,6.173,6.16,95,233.7,2172,2590.9,3326.7
5,5.91,6.173,6.173,100,226.1,2184.2,2675,--undefined--
6,7.049,7.436,7.049,0,322.5,1645,2744.8,--undefined--
6,7.049,7.436,7.069,5,452.1,1827.1,3050.5,--undefined--
6,7.049,7.436,7.088,10,520.6,1926.1,2380.5,2940.9
6,7.049,7.436,7.107,15,498,1865,2725.7,--undefined--
6,7.049,7.436,7.127,20,581.8,1975.7,2698.5,--undefined--
6,7.049,7.436,7.146,25,594.6,2068.3,2693.6,--undefined--
6,7.049,7.436,7.165,30,511.3,1705.3,2656.4,3219.5
6,7.049,7.436,7.185,35,485.9,1655,2562.8,3142.3
6,7.049,7.436,7.204,40,499.6,1772.4,2710.2,3276.6
6,7.049,7.436,7.223,45,489.8,1791.3,2770.2,3692
6,7.049,7.436,7.243,50,390.1,1765.7,2696.2,3293.4
6,7.049,7.436,7.262,55,298.9,1736.4,2684.2,3329.7
6,7.049,7.436,7.282,60,304.7,1721.5,2702.3,3291.7
6,7.049,7.436,7.301,65,417.3,1719.8,2727.8,3285.7
6,7.049,7.436,7.32,70,476.8,1684.3,2715,3266.7
6,7.049,7.436,7.34,75,458.3,1628.3,2624.3,3428.7
6,7.049,7.436,7.359,80,443.3,1657.3,2758.5,--undefined--
6,7.049,7.436,7.378,85,439.1,1664.9,2711.1,--undefined--
6,7.049,7.436,7.398,90,367.7,1660.2,2782.1,--undefined--
6,7.049,7.436,7.417,95,302.2,1606.3,2827.1,--undefined--
6,7.049,7.436,7.436,100,283.2,1575.5,2735.6,--undefined--
