id,word,pre,vowel,fol
1,snoʊz,sn,oʊ,z
2,deɪz,d,eɪ,z
3,zɔɪd,z,ɔɪ,d
4,teɪd,t,eɪ,d
5,zudz,z,u,dz
6,snæz,sn,æ,z
7,stʊz,st,ʊ,z
8,heɪdz,h,eɪ,dz
9,zuz,z,u,z
10,zɔd,z,ɔ,d
11,sɔz,s,ɔ,z
12,naʊdz,n,aʊ,dz
13,stɔɪd,st,ɔɪ,d
14,sʊz,s,ʊ,z
15,sneɪd,sn,eɪ,d
16,stoʊd,st,oʊ,d
17,haɪz,h,aɪ,z
18,hæz,h,æ,z
19,neɪz,n,eɪ,z
20,dad,d,a,d
21,nædz,n,æ,dz
22,hɪd,h,ɪ,d
23,dadz,d,a,dz
24,sʊd,s,ʊ,d
25,toʊz,t,oʊ,z
26,stɔdz,st,ɔ,dz
27,snaʊd,sn,aʊ,d
28,taʊd,t,aʊ,d
29,snæz,sn,æ,z
30,stɔɪz,st,ɔɪ,z
31, ɪz, ,ɪ,z
32, iz, ,i,z
33,tæz,t,æ,z
34, ʊz, ,ʊ,z
35, oʊdz, ,oʊ,dz
36,haʊz,h,aʊ,z
37,tɛz,t,ɛ,z
38,snud,sn,u,d
39,dæd,d,æ,d
40,taɪz,t,aɪ,z
41,noʊz,n,oʊ,z
42, ud, ,u,d
43, ɔɪdz, ,ɔɪ,dz
44,sɔɪz,s,ɔɪ,z
45,hadz,h,a,dz
46,snuz,sn,u,z
47,doʊdz,d,oʊ,dz
48,nɛd,n,ɛ,d
49, ɛz, ,ɛ,z
50,tɛd,t,ɛ,d
51,hud,h,u,d
52, idz, ,i,dz
53,naʊd,n,aʊ,d
54,nɛz,n,ɛ,z
55,stɛdz,st,ɛ,dz
56,snud,sn,u,d
57,hʊdz,h,ʊ,dz
58,daɪd,d,aɪ,d
59, uz, ,u,z
60,tɪd,t,ɪ,d
61,huz,h,u,z
62,tædz,t,æ,dz
63,taz,t,a,z
64,tid,t,i,d
65,naz,n,a,z
66,hɛdz,h,ɛ,dz
67,stadz,st,a,dz
68,tɔɪd,t,ɔɪ,d
69,tʊz,t,ʊ,z
70,zædz,z,æ,dz
71,naɪz,n,aɪ,z
72,sʊdz,s,ʊ,dz
73,snaɪd,sn,aɪ,d
74,tɔd,t,ɔ,d
75, ɪd, ,ɪ,d
76,snʊd,sn,ʊ,d
77,snuz,sn,u,z
78,zid,z,i,d
79,næz,n,æ,z
80,snɪz,sn,ɪ,z
81,haz,h,a,z
82,didz,d,i,dz
83,hɪz,h,ɪ,z
84,daʊdz,d,aʊ,dz
85, aʊdz, ,aʊ,dz
86, id, ,i,d
87,dudz,d,u,dz
88,hoʊd,h,oʊ,d
89,nʊdz,n,ʊ,dz
90,zʊd,z,ʊ,d
91,dʊz,d,ʊ,z
92,tæd,t,æ,d
93,hɪdz,h,ɪ,dz
94,stuz,st,u,z
95, aʊz, ,aʊ,z
96,noʊdz,n,oʊ,dz
97,stoʊdz,st,oʊ,dz
98, adz, ,a,dz
99,snɔdz,sn,ɔ,dz
100,dɔd,d,ɔ,d
101,naɪz,n,aɪ,z
102,zʊz,z,ʊ,z
103,tiz,t,i,z
104,nɛz,n,ɛ,z
105,sud,s,u,d
106, eɪdz, ,eɪ,dz
107,dæd,d,æ,d
108,zeɪdz,z,eɪ,dz
109,dædz,d,æ,dz
110,tɪd,t,ɪ,d
111,stʊz,st,ʊ,z
112,dæd,d,æ,d
113,hʊz,h,ʊ,z
114,zoʊz,z,oʊ,z
115, iz, ,i,z
116,hoʊdz,h,oʊ,dz
117,toʊdz,t,oʊ,dz
118,nʊz,n,ʊ,z
119,dɪd,d,ɪ,d
120,dad,d,a,d
121, ud, ,u,d
122,saɪdz,s,aɪ,dz
123,staɪd,st,aɪ,d
124,heɪd,h,eɪ,d
125,sneɪdz,sn,eɪ,dz
126,dɔz,d,ɔ,z
127, ad, ,a,d
128,taɪz,t,aɪ,z
129,staʊd,st,aʊ,d
130,zɔdz,z,ɔ,dz
131, ɔɪz, ,ɔɪ,z
132,tɔdz,t,ɔ,dz
133,dudz,d,u,dz
134,nɪdz,n,ɪ,dz
